region,lobe
amygdala,MTL
angular gyrus,parietal
anterior cingulate gyrus,PFC
basal forebrain,
calcarine cortex,
caudate nucleus,
cuneus,
frontal pole,PFC
frontoparietal operculum,
fusiform gyrus,
hippocampus,MTL
inferior frontal gyrus,PFC
inferior parietal lobule,parietal
inferior temporal gyrus,LTC
insula,
lateral occipital cortex,
lentiform nucleus,
lingual gyrus,
medial frontal cortex,PFC
middle cingulate gyrus,
middle frontal gyrus,PFC
middle temporal gyrus,LTC
orbitofrontal cortex,PFC
paracentral lobule,
parahippocampal gyrus,MTL
postcentral gyrus,
posterior cingulate gyrus,parietal
precentral gyrus,
precuneus,parietal
rectal gyrus,PFC
subcallosal area,
superior frontal gyrus,PFC
superior parietal lobule,parietal
superior temporal gyrus,LTC
supplementary motor cortex,
supramarginal gyrus,parietal
temporal pole,LTC
thalamus,
transverse temporal gyrus,LTC
ventral diencephalon,
